trial,participant_id,chord_type,tension_rating,dissonance,loudness_db
27,P18,dominant-seventh,21.1,0.276,56.3
28,P18,diminished-seventh,63.8,0.575,74.5
29,P18,minor,18.7,0.13,63.1
30,P18,dominant-seventh,46.5,0.343,77.2
31,P18,major-seventh,33.3,0.188,74.2
32,P18,diminished-seventh,32.2,0.538,67.8
33,P18,minor,39.4,0.137,67.9
34,P18,diminished-seventh,73.8,0.592,77.6
35,P18,diminished-seventh,76.7,0.601,79.2
1,P19,half-diminished,37.4,0.508,82.9
2,P19,half-diminished,45.2,0.406,60.2
3,P19,minor,10.5,0.125,59.1
4,P19,augmented,13.5,0.455,61.0
5,P19,augmented,86.5,0.572,84.3
6,P19,dominant-seventh,22.7,0.295,62.1
7,P19,Major,0.0,0.08,69.4
8,P19,minor,6.1,0.119,55.2
9,P19,major-seventh,0.0,0.183,71.8
10,P19,Major,30.2,0.078,66.9
11,P19,augmented,59.6,0.516,73.2
12,P19,diminished-seventh,19.2,0.514,63.4
13,P19,major-seventh,36.0,0.205,84.1
14,P19,Major,37.3,0.09,81.9
15,P19,augmented,51.6,0.463,62.5
16,P19,half-diminished,53.3,0.481,76.8
17,P19,dominant-seventh,41.1,0.366,84.5
18,P19,major-seventh,0.4,0.173,66.2
19,P19,major-seventh,15.7,0.175,67.3
20,P19,augmented,28.8,0.466,63.1
21,P19,diminished-seventh,65.0,0.623,83.2
22,P19,diminished-seventh,84.6,0.63,84.6
23,P19,half-diminished,28.7,0.426,64.7
24,P19,half-diminished,25.9,0.415,62.3
25,P19,diminished-seventh,47.4,0.581,75.7
26,P19,dominant-seventh,45.6,0.315,68.3
27,P19,dominant-seventh,2.3,0.274,55.7
28,P19,diminished-seventh,40.8,0.563,72.3
29,P19,minor,5.3,0.135,66.1
30,P19,Major,0.0,0.075,64.3
31,P19,Major,0.0,0.08,69.7
32,P19,dominant-seventh,5.4,0.285,59.0
33,P19,minor,29.1,0.139,69.2
34,P19,minor,0.5,0.144,72.7
35,P19,major-seventh,39.2,0.174,66.8
1,P20,half-diminished,10.0,0.433,66.3
2,P20,dominant-seventh,37.4,0.367,84.6
3,P20,major-seventh,0.0,0.158,57.7
4,P20,diminished-seventh,37.9,0.542,68.6
5,P20,half-diminished,16.7,0.417,62.6
6,P20,minor,0.0,0.139,69.6
7,P20,half-diminished,29.0,0.442,68.2
8,P20,Major,7.0,0.083,73.2
9,P20,major-seventh,0.0,0.161,59.2
10,P20,Major,0.0,0.083,73.3
11,P20,augmented,23.4,0.432,56.4
12,P20,major-seventh,16.2,0.191,75.9
13,P20,diminished-seventh,54.0,0.597,78.5
14,P20,minor,9.1,0.152,78.5
15,P20,dominant-seventh,31.2,0.287,59.7
16,P20,augmented,57.8,0.54,78.0
17,P20,augmented,39.4,0.525,74.9
18,P20,dominant-seventh,37.4,0.364,83.7
19,P20,half-diminished,25.0,0.466,73.5
20,P20,diminished-seventh,54.0,0.531,66.6
21,P20,dominant-seventh,9.4,0.315,68.5
22,P20,Major,0.0,0.077,66.5
23,P20,minor,11.3,0.149,76.5
24,P20,augmented,21.1,0.452,60.4
25,P20,major-seventh,5.0,0.166,62.4
26,P20,diminished-seventh,23.3,0.52,64.6
27,P20,major-seventh,14.7,0.198,80.2
28,P20,augmented,33.8,0.438,57.5
29,P20,half-diminished,28.6,0.481,76.8
30,P20,minor,6.2,0.144,73.2
31,P20,minor,0.0,0.143,72.4
32,P20,Major,12.4,0.069,56.4
33,P20,dominant-seventh,17.2,0.329,72.8
34,P20,diminished-seventh,26.2,0.518,64.2
35,P20,Major,0.0,0.076,64.8
1,P21,minor,12.5,0.124,58.6
2,P21,dominant-seventh,28.8,0.296,62.5
3,P21,diminished-seventh,32.7,0.472,55.9
4,P21,major-seventh,13.8,0.19,75.6
5,P21,minor,0.0,0.123,58.2
6,P21,half-diminished,59.3,0.508,82.9
7,P21,half-diminished,77.9,0.513,84.0
8,P21,dominant-seventh,22.7,0.34,76.3
9,P21,augmented,43.4,0.575,84.9
10,P21,dominant-seventh,8.6,0.309,66.5
11,P21,diminished-seventh,81.0,0.631,84.8
12,P21,Major,24.7,0.091,83.2
13,P21,minor,0.0,0.129,62.0
14,P21,major-seventh,30.0,0.19,75.7
15,P21,diminished-seventh,59.3,0.559,71.6
16,P21,Major,0.0,0.075,64.2
17,P21,dominant-seventh,51.7,0.333,74.2
18,P21,minor,0.0,0.128,61.4
19,P21,Major,24.6,0.084,74.5
20,P21,diminished-seventh,20.5,0.499,60.8
21,P21,half-diminished,49.3,0.511,83.5
22,P21,major-seventh,22.4,0.176,67.7
23,P21,Major,0.0,0.08,69.6
24,P21,Major,0.0,0.074,62.9
25,P21,augmented,24.1,0.449,59.8
26,P21,dominant-seventh,20.9,0.313,67.8
27,P21,diminished-seventh,28.8,0.513,63.3
28,P21,augmented,45.2,0.531,76.3
29,P21,augmented,61.3,0.561,82.2
30,P21,minor,22.4,0.15,77.3
31,P21,augmented,49.2,0.526,75.3
32,P21,half-diminished,33.1,0.387,56.1
33,P21,major-seventh,32.0,0.192,76.7
34,P21,half-diminished,56.4,0.484,77.5
35,P21,major-seventh,14.8,0.183,71.8
1,P22,minor,31.3,0.151,77.6
2,P22,dominant-seventh,52.0,0.323,70.8
3,P22,half-diminished,50.9,0.48,76.6
4,P22,half-diminished,58.5,0.497,80.5
5,P22,major-seventh,30.9,0.195,78.5
6,P22,dominant-seventh,61.4,0.363,83.3
7,P22,Major,0.0,0.074,62.0
8,P22,Major,6.0,0.072,60.3
9,P22,augmented,34.4,0.436,57.2
10,P22,dominant-seventh,72.8,0.356,81.1
11,P22,Major,17.5,0.079,68.3
12,P22,dominant-seventh,55.9,0.363,83.3
13,P22,Major,8.7,0.078,67.0
14,P22,major-seventh,16.9,0.161,59.4
15,P22,minor,11.3,0.142,71.6
16,P22,major-seventh,48.1,0.181,70.8
17,P22,minor,13.5,0.125,59.4
18,P22,diminished-seventh,82.2,0.623,83.3
19,P22,Major,22.6,0.087,78.3
20,P22,half-diminished,22.3,0.397,58.3
21,P22,diminished-seventh,64.4,0.525,65.5
22,P22,half-diminished,39.9,0.46,72.2
23,P22,minor,22.9,0.135,66.2
24,P22,augmented,34.8,0.426,55.2
25,P22,diminished-seventh,55.7,0.507,62.2
26,P22,half-diminished,61.9,0.473,75.2
27,P22,dominant-seventh,48.6,0.359,82.3
28,P22,major-seventh,20.7,0.189,74.9
29,P22,augmented,79.0,0.545,79.0
30,P22,diminished-seventh,63.3,0.613,81.4
31,P22,diminished-seventh,58.2,0.476,56.5
32,P22,minor,3.0,0.133,65.1
33,P22,augmented,46.0,0.494,68.8
34,P22,augmented,77.2,0.533,76.7
35,P22,major-seventh,6.8,0.162,60.1
1,P23,dominant-seventh,26.1,0.302,64.5
2,P23,Major,12.8,0.07,57.7
3,P23,major-seventh,33.5,0.202,82.1
4,P23,half-diminished,54.4,0.494,79.7
5,P23,dominant-seventh,17.4,0.295,62.3
6,P23,augmented,30.0,0.445,59.0
7,P23,augmented,54.1,0.551,80.3
8,P23,minor,2.8,0.123,57.5
9,P23,major-seventh,0.0,0.162,59.9
10,P23,diminished-seventh,81.5,0.592,77.6
11,P23,major-seventh,20.6,0.193,77.5
12,P23,Major,0.0,0.079,68.3
13,P23,Major,8.5,0.09,82.4
14,P23,minor,4.9,0.134,65.4
15,P23,minor,20.6,0.129,62.4
16,P23,diminished-seventh,43.6,0.492,59.5
17,P23,half-diminished,43.0,0.458,71.8
18,P23,diminished-seventh,71.2,0.621,83.0
19,P23,minor,22.3,0.15,77.4
20,P23,Major,43.4,0.091,83.4
21,P23,half-diminished,42.0,0.446,69.1
22,P23,augmented,61.0,0.551,80.2
23,P23,diminished-seventh,48.8,0.589,77.1
24,P23,augmented,57.8,0.558,81.7
25,P23,dominant-seventh,30.9,0.331,73.4
26,P23,half-diminished,18.9,0.392,57.1
27,P23,augmented,54.9,0.486,67.3
28,P23,major-seventh,8.2,0.173,66.0
29,P23,diminished-seventh,51.9,0.6,79.1
30,P23,half-diminished,28.0,0.402,59.4
31,P23,minor,0.0,0.125,59.2
32,P23,Major,0.0,0.071,58.8
33,P23,dominant-seventh,22.7,0.347,78.5
34,P23,dominant-seventh,26.9,0.289,60.4
35,P23,major-seventh,0.0,0.157,57.3
1,P24,dominant-seventh,21.5,0.289,60.3
2,P24,minor,7.8,0.145,73.4
3,P24,Major,7.3,0.086,77.2
4,P24,minor,10.3,0.124,58.9
5,P24,major-seventh,2.4,0.159,58.5
6,P24,half-diminished,38.5,0.416,62.5
7,P24,major-seventh,41.7,0.161,59.3
8,P24,Major,0.0,0.086,77.4
9,P24,dominant-seventh,29.1,0.297,62.7
10,P24,diminished-seventh,83.7,0.616,82.0
11,P24,major-seventh,2.9,0.187,73.7
12,P24,half-diminished,64.4,0.464,73.0
13,P24,Major,25.4,0.07,56.9
14,P24,augmented,50.3,0.573,84.6
15,P24,major-seventh,11.7,0.173,66.2
16,P24,dominant-seventh,46.1,0.359,82.3
17,P24,minor,0.0,0.12,55.9
18,P24,minor,19.4,0.154,80.0
19,P24,augmented,59.7,0.528,75.7
20,P24,diminished-seventh,54.4,0.579,75.3
21,P24,diminished-seventh,39.1,0.586,76.5
22,P24,Major,0.0,0.078,67.8
23,P24,augmented,84.5,0.521,74.3
24,P24,half-diminished,50.5,0.428,65.1
25,P24,dominant-seventh,17.2,0.352,80.1
26,P24,diminished-seventh,64.9,0.609,80.7
27,P24,augmented,37.1,0.453,60.5
28,P24,half-diminished,54.2,0.463,72.9
29,P24,Major,14.2,0.077,66.7
30,P24,augmented,36.8,0.521,74.3
31,P24,dominant-seventh,28.9,0.299,63.4
32,P24,diminished-seventh,65.0,0.592,77.7
33,P24,major-seventh,0.0,0.184,72.0
34,P24,half-diminished,36.5,0.511,83.5
35,P24,minor,17.5,0.14,70.0
